code,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region,subregion
PRK,"Korea, Dem. People’s Rep.",24310142,24428341,24548836,24673385,24800612,24929452,25057752,25183833,25307744,25429985,25549819,Asia,Eastern Asia
PRT,Portugal,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10281762,Europe,Southern Europe
PRY,Paraguay,6081296,6163972,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071,Americas,South America
PYF,French Polynesia,264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679,Oceania,Polynesia
QAT,Qatar,1436665,1654950,1856327,2035871,2196074,2336574,2459198,2565710,2654374,2724724,2781677,Asia,Western Asia
ROU,Romania,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19702332,19587491,19473936,Europe,Eastern Europe
RUS,Russian Federation,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396,144496740,144478050,Europe,Eastern Europe
RWA,Rwanda,9524534,9782770,10039338,10293331,10549678,10811543,11083635,11369071,11668818,11980937,12301939,Africa,Eastern Africa
SAU,Saudi Arabia,25888541,26630303,27421461,28267685,29155187,30052518,30916994,31717667,32442572,33099147,33699947,Asia,Western Asia
SDN,Sudan,33060837,33783788,34545013,35349681,36193783,37072550,37977655,38902950,39847440,40813396,41801533,Africa,Northern Africa
SEN,Senegal,12004701,12335084,12678148,13033809,13401991,13782420,14174731,14578459,14993528,15419381,15854360,Africa,Western Africa
SGP,Singapore,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,Asia,South-Eastern Asia
SLB,Solomon Islands,503360,515181,527861,541521,556064,571335,587079,603118,619437,636038,652858,Oceania,Melanesia
SLE,Sierra Leone,6133603,6272734,6415634,6563240,6712581,6863980,7017144,7171914,7328838,7488431,7650154,Africa,Western Africa
SLV,El Salvador,6131764,6157686,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744,Americas,Central America
SMR,San Marino,30434,30816,31229,31661,32105,32553,32948,33272,33504,33671,33785,Europe,Southern Europe
SOM,Somalia,11397188,11717692,12043883,12376302,12715510,13063706,13423576,13797201,14185613,14589119,15008154,Africa,Eastern Africa
SRB,Serbia,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982084,Europe,Southern Europe
SSD,South Sudan,8736939,9142259,9508364,9830698,10113647,10355036,10554883,10715658,10832512,10910759,10975920,Africa,Middle Africa
SUR,Suriname,517123,523111,529131,535179,541245,547291,553273,559143,564888,570496,575991,Americas,South America
